Timestamp,How socially active are your children ?,How self confident are your children ?,How likely your kids are to participate in sports,Anxiety and pressure felt by students during exams,How satisfied are you with school ,Schools emphasis on practical learning,Schools focus on each student,Curriculums emphasis on life and social skills,Steps taken to spread awareness about mental health,Steps taken to spread awareness about Physical health,Balance between extra-curricular and co-curricular activities,What are your suggestions for school?,Did the school make any changes with respect to your previous feedback?
3/23/2022 11:12:53,3,3,5,5,3,3,2,2,1,4,4,"Organize a mandatory class that encourages all students to give back to their community.  Presently, many children become too caught up in their social lives, social media and their own needs. As a result, society's youth has become too self-indulgent.",
3/23/2022 13:05:43,4,3,2,5,3,2,1,2,1,4,3,,
3/23/2022 14:33:48,3,2,2,4,3,2,3,4,2,4,3,N,F
